#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
1247,der,"Rum, -",rum,Ich trinke Rum.,I am drinking rum.,
1248,,"Rumänien, Rumänisch","Romania, Romanian",Er kommt aus Rumänien.,He comes from Romania.,
1249,die,"Runde, n","round, lap",Wir drehen eine Runde.,We are doing a lap.,
1250,,Russland,Russia,Russland ist ein großes Land.,Russia is a big country.,
1251,die,"S-Bahn, -Bahnen",S-Bahn (suburban train),Ich fahre mit der S-Bahn.,I am traveling by S-Bahn.,
1252,die,"Sache, n","thing, matter",Das ist eine ernste Sache.,That is a serious matter.,
1253,die,"Sachlichkeit, -",objectivity,Seine Sachlichkeit ist bewundernswert.,His objectivity is admirable.,
1254,der,"Sack, Säcke","sack, bag",Der Sack ist voll.,The sack is full.,
1255,der,"Saft, Säfte",juice,Ich trinke Orangensaft.,I am drinking orange juice.,
1256,die,"Sahne, -",cream,Die Sahne ist frisch.,The cream is fresh.,
1257,die,"Saison, s",season,Die Saison beginnt.,The season is starting.,
1258,die,"Salami, s",salami,Die Salami ist scharf.,The salami is spicy.,
1259,der,"Salat, e",salad,Der Salat ist gesund.,The salad is healthy.,
1260,die,"Salbe, n",ointment,Ich brauche eine Salbe für die Haut.,I need an ointment for my skin.,
1261,das,"Salz, e",salt,Das Essen braucht mehr Salz.,The food needs more salt.,
1262,der,"Samstag, e",Saturday,Am Samstag habe ich frei.,I have Saturday off.,
1263,die,"Sandale, n",sandal,Die Sandale ist bequem.,The sandal is comfortable.,
1264,der,"Sänger, -",singer (male),Der Sänger hat eine schöne Stimme.,The singer has a beautiful voice.,
1265,die,"Sängerin, nen",singer (female),Die Sängerin tritt heute Abend auf.,The female singer is performing tonight.,
1266,der,"Satz, Sätze","sentence, set",Der Satz ist grammatikalisch korrekt.,The sentence is grammatically correct.,
1267,das,"Saxofon, e",saxophone,Er spielt Saxofon.,He is playing the saxophone.,
1268,der,"Schädel, -",skull,Der Schädel ist aus Knochen.,The skull is made of bone.,
1269,der,"Schaden, -schäden",damage,Der Schaden ist groß.,The damage is great.,
1270,der,"Schaffner, -","conductor, train guard (male)",Der Schaffner kontrolliert die Fahrkarten.,The conductor is checking the tickets.,
1271,der,"Schal, e",scarf,Ich trage einen Schal.,I am wearing a scarf.,
1272,das,"Schaltjahr, e",leap year,Das Jahr 2024 ist ein Schaltjahr.,The year 2024 is a leap year.,
1273,die,"Schau, en",show,Die Schau war beeindruckend.,The show was impressive.,
1274,der,"Schauspieler, -",actor,Der Schauspieler spielt die Hauptrolle.,The actor is playing the main role.,
1275,die,"Schauspielerin, nen",actress,Die Schauspielerin ist sehr talentiert.,The actress is very talented.,
1276,der,schiefer Turm,leaning tower,Der schiefe Turm von Pisa ist berühmt.,The Leaning Tower of Pisa is famous.,
1277,das,"Schiff, e",ship,Das Schiff fährt auf dem Meer.,The ship is sailing on the sea.,
1278,das,"Schild, er","sign, shield",Das Schild ist alt.,The sign is old.,
1279,der,"Schinken, -",ham,Der Schinken schmeckt gut.,The ham tastes good.,
1280,der,"Schirm, e","umbrella, screen",Der Schirm ist nass.,The umbrella is wet.,
1281,der,"Schlafsack, -säcke",sleeping bag,Der Schlafsack ist warm.,The sleeping bag is warm.,
1282,die,"Schlaftablette, n",sleeping pill,Ich nehme eine Schlaftablette.,I am taking a sleeping pill.,
1283,das,"Schlafzimmer, -",bedroom,Das Schlafzimmer ist gemütlich.,The bedroom is cozy.,
1284,das,"Schloss, Schlösser","castle, lock",Das Schloss ist groß.,The castle is big.,
1285,der,"Schluss, -Schlüsse","end, conclusion",Am Schluss des Tages bin ich müde.,"At the end of the day, I am tired.",
1286,der,"Schlüssel, -",key,Wo ist mein Schlüssel?,Where is my key?,
1287,der,"Schlussverkauf, -käufe",sale,Der Schlussverkauf beginnt morgen.,The sale begins tomorrow.,
1288,der,"Schmerz, en",pain,Der Schmerz ist stark.,The pain is strong.,
1289,die,"Schmerztablette, n",painkiller,Ich brauche eine Schmerztablette.,I need a painkiller.,
1290,der,"Schmuck, e",jewelry,Der Schmuck ist teuer.,The jewelry is expensive.,
1291,der,"Schmutz, -","dirt, filth",Der Schmutz muss weg.,The dirt must be removed.,
1292,der,"Schnee, -",snow,Der Schnee ist weiß.,The snow is white.,
1293,der,"Schneemann, -männer",snowman,Wir bauen einen Schneemann.,We are building a snowman.,
1294,das,"Schnitzel, -",schnitzel,Das Schnitzel ist lecker.,The schnitzel is delicious.,
1295,der,"Schnupfen, -",head cold,Ich habe Schnupfen.,I have a head cold.,
1296,die,"Schokolade, n",chocolate,Ich esse Schokolade.,I am eating chocolate.,
1297,der,"Schrank, Schränke","cupboard, cabinet",Der Schrank ist voll.,The cupboard is full.,
1298,das,"Schreiben, -",writing,Das Schreiben ist wichtig.,The writing is important.,
1299,der,"Schreibtisch, e",desk,Der Schreibtisch ist groß.,The desk is big.,
1300,die,"Schreibwaren, -",stationery,Ich kaufe Schreibwaren.,I am buying stationery.,
1301,der,"Schritt, e",step,Er macht einen Schritt.,He is taking a step.,
1302,die,"Schuh, e",shoe,Der Schuh ist neu.,The shoe is new.,
1303,der,"Schuhladen, -läden",shoe store,Wir gehen in den Schuhladen.,We are going to the shoe store.,
1304,die,"Schule, n",school,Die Schule beginnt um 8 Uhr.,The school starts at 8 AM.,
1305,der,"Schüler, -",student (male),Der Schüler lernt fleißig.,The student is learning diligently.,
1306,die,"Schülerin, nen",student (female),Die Schülerin hat gute Noten.,The female student has good grades.,
1307,die,"Schweiz, -",Switzerland,Die Schweiz ist ein schönes Land.,Switzerland is a beautiful country.,
1308,die,"Schwester, n","sister, nurse",Meine Schwester ist nett.,My sister is nice.,
1309,der,"Schwierigkeitsgrad, -",degree of difficulty,Der Schwierigkeitsgrad ist hoch.,The degree of difficulty is high.,
1310,das,"Schwimmbad, -bäder",swimming pool,Wir gehen ins Schwimmbad.,We are going to the swimming pool.,
1311,die,"Sechs, en",six,Die Zahl ist sechs.,The number is six.,
1312,der,"See, n","lake, sea",Der See ist tief.,The lake is deep.,
1313,das,"Segel, -",sail,Die Segel des Schiffes sind weiß.,The sails of the ship are white.,
1314,der,"Segway, -",Segway,Er fährt mit dem Segway.,He is riding the Segway.,
1315,die,"Sehenswürdigkeit, en","sight, attraction",Die Sehenswürdigkeiten sind berühmt.,The sights are famous.,
1316,die,"Seide, n",silk,Das Tuch ist aus Seide.,The cloth is made of silk.,
1317,die,"Seife, n",soap,Die Seife ist neu.,The soap is new.,
1318,die,"Seite, n","page, side",Schlage die Seite 5 auf.,Open page 5.,
1319,der,"Sekretär, e",secretary (male),Der Sekretär tippt den Brief.,The secretary is typing the letter.,
1320,die,"Sekretärin, nen",secretary (female),Die Sekretärin macht Termine.,The female secretary is making appointments.,
1321,die,"Sekunde, n",second,Warte eine Sekunde.,Wait a second.,
1322,die,"Sellerie, -",celery,Der Sellerie ist gesund.,The celery is healthy.,
1323,das,"Seminar, e",seminar,Das Seminar ist interessant.,The seminar is interesting.,
1324,der,"September, -",September,Im September ist es kühl.,"In September, it is cool.",
1325,die,"Serviette, n",napkin,Ich brauche eine Serviette.,I need a napkin.,
1326,der,"Sessel, -",armchair,Der Sessel ist bequem.,The armchair is comfortable.,
1327,das,"Shampoo, s",shampoo,Ich kaufe Shampoo.,I am buying shampoo.,
1328,das,"Sieb, e",sieve,Ich brauche ein Sieb.,I need a sieve.,
1329,die,"Sieben, en",seven,Die Zahl ist sieben.,The number is seven.,
1330,das,"Siegel, -",seal,Das Siegel ist alt.,The seal is old.,
1331,der,"Signalton, -töne",signal tone,Der Signalton ist laut.,The signal tone is loud.,
1332,die,"Silbe, n",syllable,Das Wort hat zwei Silben.,The word has two syllables.,
1333,das,"Silvester, -",New Year's Eve,Silvester ist ein Fest.,New Year's Eve is a celebration.,
1334,die,"Situation, en",situation,Die Situation ist kompliziert.,The situation is complicated.,
1335,der,"Ski, er",ski,Ich fahre Ski.,I am skiing.,
1336,das,"Skilaufen, -",skiing,Skilaufen ist ein Wintersport.,Skiing is a winter sport.,
1337,der,"Skiurlaub, e",skiing holiday,Wir machen einen Skiurlaub.,We are going on a skiing holiday.,
1338,der,"Skiurlauber, -","skier (male, on holiday)",Der Skiurlauber fährt schnell.,The skier is skiing fast.,
1339,die,Slowaka,Slowakian (female),Sie ist eine Slowakin.,She is a Slovakian.,
1340,das,"Snowboard, s",snowboard,Das Snowboard ist cool.,The snowboard is cool.,
1341,die,"Socke, n",sock,Die Socke ist blau.,The sock is blue.,
1342,das,"Sofa, s",sofa,Das Sofa ist bequem.,The sofa is comfortable.,
1343,der,"Sohn, Söhne",son,Mein Sohn ist groß.,My son is tall.,
1344,der,"Sommer, -",summer,Im Sommer ist es warm.,"In the summer, it is warm.",
1345,das,"Sonderangebot, e",special offer,Das Sonderangebot ist günstig.,The special offer is cheap.,
1346,die,"Sonne, n",sun,Die Sonne scheint.,The sun is shining.,
1347,die,"Sonnenbrille, n",sunglasses,Ich trage eine Sonnenbrille.,I am wearing sunglasses.,
1348,die,"Sonnencreme, s",sun cream,Ich brauche Sonnencreme.,I need sun cream.,
1349,der,"Sonnenschein, -",sunshine,Der Sonnenschein ist schön.,The sunshine is beautiful.,
1350,der,"Sonntag, e",Sunday,Am Sonntag habe ich frei.,I have Sunday off.,
1351,der,"Sortierer, -",sorter,Der Sortierer trennt die Post.,The sorter is separating the mail.,
1352,die,"Sortierung, en",sorting,Die Sortierung der Daten dauert.,The sorting of the data takes time.,
1353,das,"Souvenir, s",souvenir,Ich kaufe ein Souvenir.,I am buying a souvenir.,
1354,die,"Spange, n","clasp, clip, brace",Die Spange hält das Haar.,The clip is holding the hair.,
1355,,Spanien,Spain,Spanien ist ein Land in Europa.,Spain is a country in Europe.,
1356,,Spanisch,Spanish (language),Ich lerne Spanisch.,I am learning Spanish.,
1357,die,"Spanne, n",span,Die Spanne zwischen den Preisen ist groß.,The span between the prices is wide.,
1358,die,"Spareinlage, n",savings deposit,Ich mache eine Spareinlage.,I am making a savings deposit.,
1359,der,"Sparer, -",saver,Der Sparer legt sein Geld an.,The saver is investing his money.,
1360,die,"Sparkasse, n",savings bank,Die Sparkasse ist in der Nähe.,The savings bank is nearby.,
1361,der,"Sparren, -",rafter,Der Sparren stützt das Dach.,The rafter supports the roof.,
1362,der,"Spaß, Späße","fun, joke",Das macht Spaß.,That is fun.,
1363,der,"Spatz, en",sparrow,Der Spatz sitzt auf dem Ast.,The sparrow is sitting on the branch.,
1364,der,"Spaziergang, -gänge","walk, stroll",Wir machen einen Spaziergang.,We are going for a walk.,
1365,die,"Speise, n","dish, food",Die Speise ist lecker.,The dish is delicious.,
1366,der,"Spezialist, en",specialist (male),Der Spezialist hilft mir.,The specialist is helping me.,
1367,die,"Spezialität, en",specialty,Das ist eine Spezialität der Region.,That is a specialty of the region.,
1368,der,"Spiegel, -",mirror,Der Spiegel ist groß.,The mirror is big.,
1369,das,"Spiel, e",game,Das Spiel ist spannend.,The game is exciting.,
1370,der,"Spinat, e",spinach,Der Spinat ist gesund.,The spinach is healthy.,
1371,der,"Sport, e",sport,Sport ist gesund.,Sport is healthy.,
1372,die,"Sportart, en",type of sport,Meine Lieblingssportart ist Fußball.,My favorite type of sport is soccer.,
1373,der,"Sportartikel, -",sports equipment,Ich kaufe Sportartikel.,I am buying sports equipment.,
1374,die,"Sportkleidung, en",sportswear,Ich trage Sportkleidung.,I am wearing sportswear.,
1375,der,"Sportlehrer, -",sports teacher (male),Der Sportlehrer ist streng.,The sports teacher is strict.,
1376,das,"Sportstudio, s",gym,Ich gehe ins Sportstudio.,I am going to the gym.,
1377,die,"Sprache, n",language,Ich lerne eine neue Sprache.,I am learning a new language.,
1378,das,"Sprachzentrum, -zentren",language center,Das Sprachzentrum bietet Kurse an.,The language center offers courses.,
1379,die,"Spree, -",Spree (river),Die Spree fließt durch Berlin.,The Spree flows through Berlin.,
1380,die,"Spritze, n","syringe, shot",Die Spritze tut weh.,The shot hurts.,
1381,der,"Sprung, Sprünge",jump,Der Sprung ist hoch.,The jump is high.,
1382,die,"Spüle, n",sink,Die Spüle ist sauber.,The sink is clean.,
1383,die,"Spülmaschine, n",dishwasher,Die Spülmaschine ist an.,The dishwasher is on.,
1384,das,"Stadion, en",stadium,Das Stadion ist voll.,The stadium is full.,
1385,das,"Stadium, -",stage,Das ist das erste Stadium.,That is the first stage.,
1386,die,"Stadt, Städte",city,Die Stadt ist groß.,The city is big.,
1387,die,"Stadtbesichtigung, en",city tour,Wir machen eine Stadtbesichtigung.,We are doing a city tour.,
1388,die,"Stadtführung, en",guided city tour,Die Stadtführung war interessant.,The guided city tour was interesting.,
1389,der,"Stadtplan, -pläne",city map,Ich brauche einen Stadtplan.,I need a city map.,
1390,das,"Stadttor, e",city gate,Das Stadttor ist alt.,The city gate is old.,
1391,der,"Stadturlaub, e",city break,Wir machen einen Stadturlaub in Berlin.,We are having a city break in Berlin.,
1392,der,"Stamm, Stämme","trunk, tribe",Der Stamm des Baumes ist dick.,The trunk of the tree is thick.,
1393,der,"Start, e",start,Der Start des Rennens.,The start of the race.,
1394,das,"Station, en",station,Die nächste Station ist hier.,The next station is here.,
1395,die,"Statistik, en",statistics,Die Statistik ist kompliziert.,The statistics are complicated.,
1396,das,"Steak, s",steak,Das Steak ist lecker.,The steak is delicious.,
1397,der,"Steig, e","climb, rise",Der Steig ist steil.,The climb is steep.,
1398,die,"Steige, n","staircase, flight of stairs",Die Steige ist steil.,The staircase is steep.,
1399,die,"Stelle, n","place, position, job",Ich habe eine neue Stelle.,I have a new job.,
1400,der,"Stich, e","sting, stitch",Der Stich einer Biene.,The sting of a bee.,
1401,der,"Stichpunkt, e",bullet point,Schreibe die Stichpunkte auf.,Write down the bullet points.,
1402,das,"Stichwort, -wörter",keyword,Das Stichwort ist wichtig.,The keyword is important.,
1403,der,"Stiefel, -",boot,Die Stiefel sind neu.,The boots are new.,
1404,der,"Stift, e","pen, pencil, pin",Der Stift ist blau.,The pen is blue.,
1405,die,"Stille, -",silence,Die Stille ist beruhigend.,The silence is calming.,
1406,der,"Stock, Stöcke","stick, floor/story",Wir wohnen im dritten Stock.,We live on the third floor.,
1407,das,"Stockwerk, e","floor, story",Das Gebäude hat zehn Stockwerke.,The building has ten floors.,
1408,der,"Stollen, -",stollen (a type of fruitcake),Der Stollen schmeckt gut.,The stollen tastes good.,
1409,der,"Strand, Strände",beach,Der Strand ist sandig.,The beach is sandy.,
1410,das,"Strandbar, -bä",beach bar,Die Strandbar ist offen.,The beach bar is open.,
1411,die,"Strasse, n",street,Die Strasse ist lang.,The street is long.,
1412,die,"Straße, n",street,Die Straße ist lang.,The street is long.,
1413,die,"Straßenbahn, en",tram,Die Straßenbahn kommt gleich.,The tram is coming soon.,
1414,der,"Stress, e",stress,Ich habe Stress.,I have stress.,
1415,der,"Strich, e","line, stroke",Ziehe einen Strich.,Draw a line.,
1416,die,"Strophe, n",stanza,Die Strophe des Liedes ist schön.,The stanza of the song is beautiful.,
1417,der,"Strumpf, Strümpfe","stocking, sock",Der Strumpf ist kaputt.,The stocking is broken.,
1418,das,"Stück, e","piece, slice","Ein Stück Kuchen, bitte.","One piece of cake, please.",
1419,der,"Student, en",student (male),Der Student lernt fleißig.,The student is learning diligently.,
1420,die,"Studentin, nen",student (female),Die Studentin studiert Medizin.,The female student is studying medicine.,
1421,das,"Studium, Studien",studies,Mein Studium ist interessant.,My studies are interesting.,
1422,die,"Stufe, n","step, level",Die Stufe ist hoch.,The step is high.,
1423,der,"Stuhl, Stühle",chair,Der Stuhl ist bequem.,The chair is comfortable.,
1424,die,"Stunde, n",hour,Eine Stunde hat 60 Minuten.,One hour has 60 minutes.,
1425,der,"Sturm, Stürme",storm,Der Sturm ist stark.,The storm is strong.,
1426,der,"Sturz, Stürze",fall,Der Sturz war schmerzhaft.,The fall was painful.,
1427,die,"Suchanzeige, n",wanted ad,Ich schalte eine Suchanzeige.,I am placing a wanted ad.,
1428,der,"Süd, e",south,Die Stadt liegt im Süd.,The city is located in the south.,
1429,der,"Süden, -",south,Wir fahren nach Süden.,We are driving to the south.,
1430,der,Südosten,southeast,Die Sonne geht im Südosten auf.,The sun rises in the southeast.,
1431,der,Südwesten,southwest,Wir fahren in den Südwesten.,We are driving to the southwest.,
1432,der,"Sumpf, Sümpfe","swamp, bog",Der Sumpf ist gefährlich.,The swamp is dangerous.,
1433,das,Super,"great, super (adjective/adverb)",Das ist super.,That's great.,
1434,der,"Supermarkt, -märkte",supermarket,Wir gehen in den Supermarkt.,We are going to the supermarket.,
1435,die,"Suppe, n",soup,Die Suppe ist heiß.,The soup is hot.,
1436,das,"Suppenhuhn, -hühner",boiling fowl,Ich kaufe ein Suppenhuhn.,I am buying a boiling fowl.,
1437,die,"Süßigkeit, en","sweet, candy",Die Süßigkeiten sind lecker.,The sweets are delicious.,
1438,das,"Sweatshirt, s",sweatshirt,Das Sweatshirt ist blau.,The sweatshirt is blue.,
1439,das,"Symbol, e",symbol,Das Symbol ist wichtig.,The symbol is important.,
1440,das,"System, e",system,Das System ist komplex.,The system is complex.,
1441,die,"Szene, n",scene,Die Szene ist lustig.,The scene is funny.,
1442,das,"T-Shirt, s",T-shirt,Das T-Shirt ist neu.,The T-shirt is new.,
1443,die,"Tabelle, n","table, chart",Die Tabelle ist übersichtlich.,The table is clear.,
1444,die,"Tablette, n","tablet, pill",Ich nehme eine Tablette.,I am taking a pill.,
1445,die,"Tafel, n","blackboard, table",Die Tafel ist grün.,The blackboard is green.,
1446,der,"Tag, e",day,Der Tag hat 24 Stunden.,The day has 24 hours.,
1447,der,"Tagesablauf, -abläufe",daily routine,Mein Tagesablauf ist stressig.,My daily routine is stressful.,
1448,das,"Tal, Täler",valley,Das Tal ist grün.,The valley is green.,
1449,das,"Tandem, s",tandem,Wir fahren ein Tandem.,We are riding a tandem.,
1450,der,"Tandempartner, -",tandem partner,Mein Tandempartner ist nett.,My tandem partner is nice.,
1451,die,"Tanne, n",fir tree,Die Tanne ist ein Nadelbaum.,The fir tree is a conifer.,
1452,die,"Tante, n",aunt,Meine Tante ist lieb.,My aunt is sweet.,
1453,die,"Tasche, n","bag, pocket",Die Tasche ist schwer.,The bag is heavy.,
1454,die,"Tasse, n",cup,Die Tasse ist voll.,The cup is full.,
1455,die,"Taste, n","key, button",Drücke die Taste.,Press the key.,
1456,die,"Tätigkeit, en","activity, occupation",Meine Tätigkeit ist interessant.,My occupation is interesting.,
1457,die,"Tatsache, n",fact,Das ist eine Tatsache.,That is a fact.,
1458,die,"Tausend, en",thousand,Die Zahl ist tausend.,The number is one thousand.,
1459,der,"Taxifahrer, -",taxi driver (male),Der Taxifahrer ist schnell.,The taxi driver is fast.,
1460,die,"Taxifahrerin, nen",taxi driver (female),Die Taxifahrerin ist freundlich.,The female taxi driver is friendly.,
1461,die,"Technik, en",technology,Die Technik ist modern.,The technology is modern.,
1462,der,"Techniker, -",technician (male),Der Techniker repariert den Computer.,The technician is repairing the computer.,
1463,die,"Technikerin, nen",technician (female),Die Technikerin kennt sich gut aus.,The female technician knows her way around well.,
1464,der,"Tee, s",tea,Ich trinke gerne Tee.,I like to drink tea.,
1465,der,"Teefilter, -",tea filter,Der Teefilter ist neu.,The tea filter is new.,
1466,der,"Teer, e",tar,Die Straße ist aus Teer.,The street is made of tar.,
1467,der,"Teil, e",part,Das ist ein wichtiger Teil.,That is an important part.,
1468,das,"Telefon, s",telephone,Das Telefon klingelt.,The telephone is ringing.,
1469,die,"Telefonnummer, n",telephone number,Was ist deine Telefonnummer?,What is your telephone number?,
1470,der,"Teller, -",plate,Der Teller ist leer.,The plate is empty.,
1471,das,Tennis,tennis,Ich spiele Tennis.,I am playing tennis.,
1472,der,"Teppich, e",carpet,Der Teppich ist weich.,The carpet is soft.,
1473,der,"Termin, e",appointment,Ich habe einen Termin.,I have an appointment.,
1474,der,"Terminal, s",terminal,Das Terminal ist groß.,The terminal is large.,
1475,die,"Terrasse, n",terrace,Wir sitzen auf der Terrasse.,We are sitting on the terrace.,
1476,der,"Test, s, e",test,Der Test war schwer.,The test was difficult.,
1477,der,"Textbaustein, e","text module, boilerplate text",Ich benutze einen Textbaustein.,I am using a text module.,
1478,das,"Theater, -",theater,Wir gehen ins Theater.,We are going to the theater.,
1479,der,"Theatermacher, -",theater producer,Der Theatermacher inszeniert ein Stück.,The theater producer is staging a play.,
1480,das,"Thema, -en","topic, theme",Das Thema ist interessant.,The topic is interesting.,
1481,die,"Theorie, n",theory,Die Theorie ist komplex.,The theory is complex.,
1482,der,"Tick, s","tick, quirk",Er hat einen Tick.,He has a quirk.,
1483,das,"Ticket, s",ticket,Das Ticket ist gültig.,The ticket is valid.,
1484,das,"Tier, e",animal,Das Tier ist wild.,The animal is wild.,
1485,die,"Tinte, n",ink,Die Tinte ist blau.,The ink is blue.,
1486,der,"Tipp, s","tip, hint",Danke für den Tipp.,Thanks for the tip.,
1487,der,"Tisch, e",table,Der Tisch ist rund.,The table is round.,
1488,das,Tischtennis,table tennis,Ich spiele Tischtennis.,I am playing table tennis.,
1489,der,"Titel, -",title,Der Titel des Buches ist lang.,The title of the book is long.,
1490,die,"Tochter, Töchter",daughter,Meine Tochter ist klug.,My daughter is smart.,
1491,die,"Toilette, n",toilet,Wo ist die Toilette?,Where is the toilet?,
1492,die,"Tomate, n",tomato,Die Tomate ist rot.,The tomato is red.,
1493,der,"Ton, Töne","sound, tone",Der Ton ist laut.,The sound is loud.,
1494,der,"Topf, Töpfe",pot,Der Topf ist aus Metall.,The pot is made of metal.,
1495,das,"Tor, e","goal, gate",Er schießt ein Tor.,He is scoring a goal.,
1496,die,"Torte, n",cake (fancy),Die Torte ist lecker.,The cake is delicious.,
1497,der,"Torwart, e",goalkeeper,Der Torwart hält den Ball.,The goalkeeper is catching the ball.,
1498,die,"Tour, en",tour,Die Tour war lang.,The tour was long.,
1499,der,"Tourist, en",tourist (male),Der Tourist macht Fotos.,The tourist is taking photos.,
1500,die,"Touristin, nen",tourist (female),Die Touristin besichtigt die Stadt.,The female tourist is sightseeing in the city.,
1501,die,"Trage, n","stretcher, carrier",Die Trage ist stabil.,The stretcher is stable.,
1502,der,"Trainer, -","trainer, coach (male)",Der Trainer gibt Anweisungen.,The trainer is giving instructions.,
1503,die,"Trainerin, nen","trainer, coach (female)",Die Trainerin leitet das Team.,The female trainer is leading the team.,
1504,das,"Training, s",training,Das Training ist anstrengend.,The training is exhausting.,
1505,die,"Träne, n",tear,Eine Träne rollt über die Wange.,A tear is rolling down the cheek.,
1506,der,"Transponder, -",transponder,Der Transponder sendet ein Signal.,The transponder is sending a signal.,
1507,der,"Transport, e",transport,Der Transport ist schnell.,The transport is fast.,
1508,die,"Transportart, en",type of transport,Welche Transportart bevorzugst du?,Which type of transport do you prefer?,
1509,der,"Transporter, -","van, transporter",Der Transporter ist voll.,The van is full.,
1510,die,"Traube, n",grape,Die Traube ist süß.,The grape is sweet.,
1511,der,"Traum, Träume",dream,Ich hatte einen schönen Traum.,I had a nice dream.,
1512,das,"Treffen, -",meeting,Das Treffen war wichtig.,The meeting was important.,
1513,der,"Treffpunkt, e",meeting point,Der Treffpunkt ist am Bahnhof.,The meeting point is at the train station.,
1514,der,"Trend, s",trend,Das ist ein neuer Trend.,That is a new trend.,
1515,die,"Treppe, n",stairs,Die Treppe ist steil.,The stairs are steep.,
1516,das,"Trinkgeld, er",tip,Das Trinkgeld ist für den Kellner.,The tip is for the waiter.,
1517,der,"Tropfen, -",drop,Ein Tropfen Wasser.,A drop of water.,
1518,,Tschechien,Czech Republic,Tschechien liegt in Mitteleuropa.,The Czech Republic is located in Central Europe.,
1519,das,"Tschüss, -",bye,Wir sagen Tschüss.,We are saying bye.,
1520,das,"Tuch, Tücher","cloth, scarf",Das Tuch ist weich.,The cloth is soft.,
1521,die,"Tür, en",door,Die Tür ist geschlossen.,The door is closed.,
1522,die,"Türkei, Türkisch","Turkey, Turkish",Die Türkei ist ein schönes Land.,Turkey is a beautiful country.,
1523,der,"Turm, Türme",tower,Der Turm ist hoch.,The tower is high.,
1524,die,"Tüte, n","bag, sack",Ich brauche eine Tüte.,I need a bag.,
1525,der,"Typ, en","type, guy",Was ist das für ein Typ?,What kind of guy is that?,
1526,der,"Tyrann, en",tyrant,Der Tyrann unterdrückt die Menschen.,The tyrant is oppressing the people.,
1527,die,"U-Bahn, en","subway, underground",Ich fahre mit der U-Bahn.,I am traveling by subway.,
1528,der,"Überfluss, -",abundance,Wir leben im Überfluss.,We live in abundance.,
1529,die,"Übernachtung, en",overnight stay,Die Übernachtung war teuer.,The overnight stay was expensive.,
1530,die,"Überraschung, en",surprise,Die Überraschung war groß.,The surprise was great.,
1531,die,"Überschrift, en","headline, heading",Die Überschrift ist fett gedruckt.,The heading is in bold.,
1532,die,"Übersicht, en",overview,Die Übersicht ist nützlich.,The overview is useful.,
1533,die,"Übung, en",exercise,Die Übung ist schwierig.,The exercise is difficult.,
1534,die,"Uhr, en","clock, watch",Die Uhr ist teuer.,The watch is expensive.,
1535,die,"Umkleide, n",changing room,Die Umkleide ist voll.,The changing room is full.,
1536,die,"Umkleidekabine, n",changing cubicle,Die Umkleidekabine ist klein.,The changing cubicle is small.,
1537,der,"Umtausch, e","exchange, return",Der Umtausch ist möglich.,The exchange is possible.,
1538,,Und dir? Und Ihnen?,And you? (informal/formal),Wie geht's? Und dir?,How are you? And you?,
1539,der,"Unfall, -Unfälle",accident,Der Unfall war schlimm.,The accident was bad.,
1540,die,"Universität, en",university,Ich studiere an der Universität.,I am studying at the university.,
1541,der,"Unsinn, -",nonsense,Das ist Unsinn.,That's nonsense.,
1542,das,"Untergeschoss, e",basement,Das Büro ist im Untergeschoss.,The office is in the basement.,
1543,die,"Unterschrift, en",signature,Ich brauche deine Unterschrift.,I need your signature.,
1544,der,"Urlaub, e","holiday, vacation",Wir machen Urlaub.,We are going on vacation.,
1545,der,"Urlauber, -",vacationer (male),Der Urlauber entspannt sich.,The vacationer is relaxing.,
1546,der,"Urlaubsort, e",vacation spot,Der Urlaubsort ist schön.,The vacation spot is nice.,
1547,der,"Urlaubstag, e",day off (vacation),Ich habe einen Urlaubstag.,I have a day off.,
1548,der,"Urwald, -wäl",primeval forest,Der Urwald ist dicht.,The primeval forest is dense.,
1549,die,USA,USA,Die USA sind groß.,The USA are big.,
1550,die,"Variation, en",variation,Es gibt viele Variationen.,There are many variations.,
1551,die,"Vase, n",vase,Die Vase ist aus Glas.,The vase is made of glass.,
1552,der,"Vater, Väter",father,Mein Vater ist nett.,My father is nice.,
1553,die,"Verabredung, en","appointment, date",Ich habe eine Verabredung.,I have a date.,
1554,die,"Veranstaltung, en",event,Die Veranstaltung ist gut besucht.,The event is well-attended.,
1555,der,"Verband, -bände","bandage, association",Ich brauche einen Verband.,I need a bandage.,
1556,die,"Verbindung, en",connection,Die Verbindung ist schlecht.,The connection is bad.,
1557,das,"Verbot, e",prohibition,Das ist ein Verbot.,That is a prohibition.,
1558,der,"Verein, e","club, association",Der Verein hat viele Mitglieder.,The club has many members.,
1559,die,"Vergangenheit, en",past,Die Vergangenheit ist wichtig.,The past is important.,
1560,der,"Vergleich, e",comparison,Der Vergleich ist gut.,The comparison is good.,
1561,der,"Verkauf, -verkäufe",sale,Der Verkauf läuft gut.,The sale is going well.,
1562,der,"Verkäufer, -","salesperson, seller (male)",Der Verkäufer ist freundlich.,The salesperson is friendly.,
1563,die,"Verkäuferin, nen","salesperson, seller (female)",Die Verkäuferin berät die Kunden.,The female salesperson is advising the customers.,
1564,die,"Verkleidung, en","disguise, costume",Die Verkleidung ist lustig.,The costume is funny.,
1565,die,"Verletzung, en",injury,Die Verletzung ist nicht schlimm.,The injury is not bad.,
1566,der,"Vermieter, -",landlord,Der Vermieter ist nett.,The landlord is nice.,
