,,,,,,,,Präsens,,,,,,Präteritum,,,,,,,,,
107,reg,bellen,to bark,Der Hund bellt laut.,The dog barks loudly.,,,belle,bellst,bellt,bellen,bellt,bellen,bellte,belltest,bellte,bellten,belltet,bellten,gebellt,,,
108,reg,bemühen ,to strive/to make an effort,"Ich bemühe mich, pünktlich zu sein.",I am making an effort to be on time.,sich,um,bemühe,bemühst,bemüht,bemühen,bemüht,bemühen,bemühte,bemühtest,bemühte,bemühten,bemühtet,bemühten,bemüht,x,,
109,unr,benehmen,to behave,Das Kind benimmt sich gut.,The child is behaving well.,sich,,benehme mich,benimmst dich,benimmt,benehmen,benehmt,benehmen,benahm,benahmst,benahm,benahmen,benahmt,benahmen,benommen,,sich verhalten,
110,reg,benötigen,to need/to require,Ich benötige deine Hilfe.,I need your help.,,,benötige,benötigst,benötigt,benötigen,benötigt,benötigen,benötigte,benötigtest,benötigte,benötigten,benötigtet,benötigten,benötigt,,,
111,reg,benutzen,to use,Ich benutze meinen Computer.,I am using my computer.,,,benutze,benutzt,benutzt,benutzen,benutzt,benutzen,benutzte,benutztest,benutzte,benutzten,benutztet,benutzten,benutzt,,,
112,reg,benutzen ,to use,Er benutzt sein Handy als Wecker.,He uses his phone as an alarm clock.,,,benutze,benutzt,benutzt,benutzen,benutzt,benutzen,benutzte,benutztest,benutzte,benutzten,benutztet,benutzten,benutzt,,,
113,reg,beobachten,to observe,Er beobachtet die Vögel.,He is observing the birds.,,,beobachte,beobachtest,beobachtet,beobachten,beobachtet,beobachten,beobachtete,beobachtetest,beobachtete,beobachteten,beobachtetet,beobachteten,beobachtet,,,
114,reg,beraten,to advise,Sie berät ihre Kunden.,She advises her clients.,sich,,berate,berätst,berät,beraten,beratet,beraten,beriet,berietst,beriet,berieten,berietet,berieten,beraten,,,
115,reg,bereiten ,"to prepare, cause",Das bereitet mir Freude.,That gives me joy.,sich,,bereite,bereitest,bereitet,bereiten,bereitet,bereiten,bereitete,bereitetest,bereitete,bereiteten,bereitetet,bereiteten,bereitet,,,
116,reg,berichten ,to report,Er berichtet über die Neuigkeiten.,He is reporting on the news.,,,berichte,berichtest,berichtet,berichten,berichtet,berichten,berichtete,berichtetest,berichtete,berichteten,berichtetet,berichteten,berichtet,,,
117,reg,beruhigen,to calm down/to soothe,Er beruhigt das weinende Kind.,He is calming down the crying child.,sich,,beruhige,beruhigst,beruhigt,beruhigen,beruhigt,beruhigen,beruhigte,beruhigtest,beruhigte,beruhigten,beruhigtet,beruhigten,beruhigt,x,,
118,reg,bescheinigen,"to certify, attest",Der Arzt bescheinigt seine Arbeitsunfähigkeit.,The doctor certifies his incapacity to work.,,,bescheinige,bescheinigst,bescheinigt,bescheinigen,bescheinigt,bescheinigen,bescheinigte,bescheinigtest,bescheinigte,bescheinigten,bescheinigtet,bescheinigten,bescheinigt,,,
119,reg,beschlagnahmen,to confiscate,Die Polizei beschlagnahmt die Ware.,The police are confiscating the goods.,,,beschlagnahme,beschlagnahmst,beschlagnahmt,beschlagnahmen,beschlagnahmt,beschlagnahmen,beschlagnahmte,beschlagnahmtest,beschlagnahmte,beschlagnahmten,beschlagnahmtet,beschlagnahmten,beschlagnahmt,,,
120,reg,beschließen,to decide,"Wir beschließen, zu gehen.",We decide to go.,,,beschließe,beschließt,beschließt,beschließen,beschließt,beschließen,beschloss,beschlosst,beschloss,beschlossen,beschlosst,beschlossen,beschlossen,,,
121,reg,beschränken,to limit/to restrict,Er beschränkt seine Ausgaben.,He is restricting his expenses.,sich,,beschränke,beschränkst,beschränkt,beschränken,beschränkt,beschränken,beschränkte,beschränktest,beschränkte,beschränkten,beschränktet,beschränkten,beschränkt,,,
122,reg,beschweren ,to complain,Sie beschwert sich über das Essen.,She is complaining about the food.,sich,bei (D) über (A),beschwere,beschwerst,beschwert,beschweren,beschwert,beschweren,beschwerte,beschwertest,beschwerte,beschwerten,beschwertet,beschwerten,beschwert,,,
123,reg,besichtigen,to visit (a sight),Wir besichtigen die Burg.,We are visiting the castle.,,,besichtige,besichtigst,besichtigt,besichtigen,besichtigt,besichtigen,besichtigte,besichtigtest,besichtigte,besichtigten,besichtigtet,besichtigten,besichtigt,x,,
124,reg,besitzen,to own/to possess,Er besitzt ein großes Haus.,He owns a large house.,,,besitze,besitzt,besitzt,besitzen,besitzt,besitzen,besetzte,besetztest,besetzte,besetzten,besetztet,besetzten,besessen,,,
125,unr,bestehen,to pass (an exam),Sie hat die Prüfung bestanden.,She passed the exam.,,auf + DAT,bestehe,bestehst,besteht,bestehen,besteht,bestehen,bestand,bestandest,bestand,bestanden,bestandet,bestanden,bestanden,,,
126,unr,bestehen,to consist of,Das Gericht besteht aus drei Teilen.,The dish consists of three parts.,,aus (D),,,,,,,,,,,,,,,,
127,unr,besteigen,to climb/to board (a vehicle),Wir besteigen den Berg.,We are climbing the mountain.,,,besteige,besteigst,besteigt,besteigen,besteigt,besteigen,bestieg,bestiegst,bestieg,bestiegen,bestiegt,bestiegen,bestiegen,x,,
128,reg,bestellen ,to order,Ich bestelle eine Pizza.,I am ordering a pizza.,,,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen,bestellte,bestelltest,bestellte,bestellten,bestelltet,bestellten,bestellt,,,
129,reg,bestrafen,to punish,Der Lehrer bestraft den Schüler.,The teacher is punishing the student.,,,bestrafe,bestrafst,bestraft,bestrafen,bestraft,bestrafen,bestrafte,bestraftest,bestrafte,bestraften,bestraftet,bestraften,bestraft,,,
130,reg,besuchen,to visit (a person/place),Ich besuche meine Oma.,I am visiting my grandma.,,,besuche,besuchst,besucht,besuchen,besucht,besuchen,besuchte,besuchtest,besuchte,besuchten,besuchtet,besuchten,besucht,,,
131,reg,beten,to pray,Sie betet jeden Abend.,She prays every evening.,,,bete,betest,betet,beten,betet,beten,betete,betetest,betete,beteten,betetet,beteten,gebetet,,,
132,reg,betonen,to emphasize/to stress,Er betont die Wichtigkeit.,He is emphasizing the importance.,,,betone,betonst,betont,betonen,betont,betonen,betonte,betontest,betonte,betonten,betontet,betonten,betont,x,,
133,reg,betragen,to amount to,Der Preis beträgt 50 Euro.,The price amounts to 50 Euros.,sich,,betreffe,betriffst,betrifft,betreffen,betrifft,betreffen,betrug,betrugst,betrug,betrugen,betrugt,betrugen,betrogen,,,
134,reg,beunruhigen,to worry/to unsettle,Die Nachrichten beunruhigen mich.,The news is worrying me.,sich,,beunruhige,beunruhigst,beunruhigt,beunruhigen,beunruhigt,beunruhigen,beunruhigte,beunruhigtest,beunruhigte,beunruhigten,beunruhigtet,beunruhigten,beunruhigt,,,
135,reg,beurteilen,to judge/to assess,Man sollte nicht vorschnell beurteilen.,You shouldn't judge prematurely.,sich,,beurteile,beurteilst,beurteilt,beurteilen,beurteilt,beurteilen,beurteilte,beurteilstest,beurteilte,beurteilten,beurteiltet,beurteilten,beurteilt,x,,
136,reg,bewachen,to guard/to watch over,Ein Hund bewacht das Haus.,A dog is guarding the house.,,,bewache,bewachst,bewacht,bewachen,bewacht,bewachen,bewachte,bewachtest,bewachte,bewachten,bewachtet,bewachten,bewacht,,,
137,reg,bewegen,to move,Er bewegt den Stuhl.,He moves the chair.,sich,,bewege,bewegst,bewegt,bewegen,bewegt,bewegen,bewog,bewogst,bewog,bewogen,bewogt,bewogen,bewogen,,,
138,unr,beweisen,to prove,Er muss seine Unschuld beweisen.,He has to prove his innocence.,,,beweise,beweist,beweist,beweisen,beweist,beweisen,bewies,bewiesest,bewies,bewiesen,bewieset,bewiesen,bewiesen,x,,
139,unr,bewerben,to apply for,Ich bewerbe mich um die Stelle.,I am applying for the job.,sich,"um, als, für (A)",bewerbe,bewirbst,bewirbt,bewerben,bewerbt,bewerben,bewarb,bewarbst,bewarb,bewarben,bewarbt,bewarben,beworben,x,,
140,unr,bewundern,to admire,Ich bewundere deine Geduld.,I admire your patience.,sich,,bewundere,bewunderst,bewundert,bewundern,bewundert,bewundern,bewunderte,bewundertest,bewunderte,bewunderten,bewundertet,bewunderten,bewundert,,,
141,reg,bezahlen ,to pay,Ich bezahle die Rechnung.,I am paying the bill.,,,bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen,bezahlte,bezahltest,bezahlte,bezahlten,bezahltet,bezahlten,bezahlt,,,
142,unr,beziehen,to refer to/to get from,Ich beziehe mich auf dein Schreiben.,I am referring to your letter.,sich,auf,beziehe,beziehst,bezieht,beziehen,bezieht,beziehen,bezog,bezogst,bezog,bezogen,bezogt,bezogen,bezogen,x,,
143,reg,bezweifeln,to doubt,Ich bezweifle seine Geschichte.,I doubt his story.,,,bezwiefle,bezwiefelst,bezwiefelt,bezwiefeln,bezwiefelt,bezwiefeln,bezwiefelte,bezwiefeltest,bezwiefelte,bezwiefelten,bezwiefeltet,bezwiefelten,bezwiefelt,,,
144,unr,bieten,to offer,Die Firma bietet gute Arbeitsbedingungen.,The company offers good working conditions.,,,biete,bietest,bietet,bieten ,bietet,bieten ,bot,botest,bot,boten ,botet,boten ,geboten ,,,
145,reg,bilden,to form/to educate,Sie bildet sich weiter.,She is educating herself further.,,,bilde,bildest,bildet,bilden,bildet,bilden,bildete,bildetest,bildete,bildeten,bildetet,bildeten,gebildet,x,,
146,unr,bitten,"to ask, request",Ich bitte dich um Hilfe.,I ask you for help.,sich,um (A),bitte,bittest,bittet,bitten,bittet,bitten,bat,batest,bat,baten,batet,baten,gebeten ,,,
147,reg,blasen,to blow,Er bläst die Kerzen aus.,He is blowing out the candles.,,,blase,bläst,bläst,blasen,blast,blasen,blies,bliest,blies,bliesen,bliest,bliesen,geblasen,,,
148,unr,bleiben,"to stay, remain",Wir bleiben zu Hause.,We are staying at home.,,,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,blieb,bliebst,blieb,blieben,bliebt,blieben,geblieben ,,,
149,unr,blicken ,"to glance, look",Sie blickte aus dem Fenster.,She glanced out of the window.,,,blicke,blickst,blickt,blicken,blickt,blicken,blickte,blicktest,blickte,blickten,blicktet,blickten,geblickt,,,
150,reg,brauchen ,to need,Ich brauche deine Hilfe.,I need your help.,,,brauche,brauchst,braucht,brauchen,braucht,brauchen,brauchte,brauchtest,brauchte,brauchten,brauchtet,brauchten,gebraucht,,,
151,reg,brechen,to break,Er bricht das Brot.,He is breaking the bread.,,,breche,brichst,bricht,brechen,brecht,brechen,brach,brachst,brach,brachen,bracht,brachen,gebrochen,,,
152,unr,bremsen,to brake,Er muss plötzlich bremsen.,He has to brake suddenly.,,,bremse,bremst,bremst,bremsen,bremst,bremsen,bremste,bremstest,bremste,bremsten,bremstet,bremsten,gebremst,,,
153,unr,bringen ,to bring,Kannst du mir ein Glas Wasser bringen?,Can you bring me a glass of water?,,,bringe,bringst,bringt,bringen ,bringt,bringen ,brachte,brachtest,brachte,brachten,brachtet,brachten,gebracht,,,
154,unr,bringen zu,"to bring to, lead to",Sein Mut brachte ihn zum Erfolg.,His courage led him to success.,,zu,bringe,bringst,bringt,bringen ,bringt,bringen ,brachte,brachtest,brachte,brachten,brachtet,brachten,gebracht,,,
155,reg,brüllen,to roar/to yell,Der Löwe brüllt.,The lion is roaring.,,,brülle,brüllst,brüllt,brüllen,brüllt,brüllen,brüllte,brülltest,brüllte,brüllten,brülltet,brüllten,gebrüllt,,,
156,unr,buchstabieren,to spell,Kannst du das bitte buchstabieren?,Can you please spell that?,,,buchstabiere,buchstabierst,buchstabiert,buchstabieren,buchstabiert,buchstabieren,buchstabierte,buchstabiertest,buchstabierte,buchstabierten,buchstabiertet,buchstabierten,buchstabiert,,,
157,reg,bummeln,"to stroll, wander",Wir bummeln durch die Stadt.,We are strolling through the city.,,,bummele,bummelst,bummelt,bummeln,bummelt,bummeln,bummelte,bummeltest,bummelte,bummelten,bummeltet,bummelten,gebummelt,,,
158,reg,bürsten,to brush,Sie bürstet ihre Haare.,She is brushing her hair.,,,bürste,bürstest,bürstet,bürsten,bürstet,bürsten,bürstete,bürstetest,bürstete,bürsteten,bürstetet,bürsteten,gebürstet,,,
159,reg,chatten,to chat (online),Sie chatten jeden Abend im Internet.,They chat online every evening.,,,chatte,chattest,chattet,chatten,chattet,chatten,chattete,chattetest,chattete,chatteten,chattetet,chatteten,gechattet,,,
160,reg,danken,to thank,Ich danke Ihnen für die Hilfe.,I thank you for the help.,sich,für (A),danke,dankst,dankt,danken,dankt,danken,dankte,danktest,dankte,dankten,danktet,dankten,gedankt,,,
161,reg,darstellen,to represent/to portray,Der Film stellt eine wahre Geschichte dar.,The film portrays a true story.,sich,,stelle dar,stellst dar,stellt dar,stellen dar,stellt dar,stellen dar,stellte dar,stelltest dar,stellte dar,stellten dar,stelltet dar,stellten dar,dargestellt,,,
162,reg,dauern,to last,Der Film dauert zwei Stunden.,The movie lasts two hours.,,,daure,daurst,daurt,dauern,dauert,dauern,dauerte,daurtest,dauerte,dauerten,daurtet,dauerten,gedauert,,,
163,reg,dazu.  gehören,to belong to/to be a part of,Das gehört dazu.,That is part of it.,,,gehöre. dazu,gehörst. dazu,gehört. dazu,gehören. dazu,gehört. dazu,gehören. dazu,gehörte. dazu,gehörtest. dazu,gehörte. dazu,gehörten. dazu,gehörtest. dazu,gehörten. dazu,dazugehört,x,,
164,reg,dehnen,to stretch,Er dehnt seine Muskeln.,He is stretching his muscles.,sich,,dehne,dehnst,denht,dehnen,denht,dehnen,dehnte,denhtest,dehnte,dehnten,denhtet,dehnten,gedehnt,,,
165,reg,dementieren,to deny,Er dementiert die Gerüchte.,He is denying the rumors.,,,dementiere,dementierst,dementiert,dementieren,dementiert,dementieren,dementierte,dementiertest,dementierte,dementierten,dementiertet,dementierten,dementiert,,,
166,unr,denken,to think,Ich denke an dich.,I am thinking of you.,,an,denke,denkst,denkt,denken,denkt,denken,dachte,dachtest,dachte,dachten,dachtet,dachten,gedacht,,,
167,reg,designen,to design,Er designt moderne Möbel.,He designs modern furniture.,,,designe,designst,designt,designen,designt,designen,designte,designtest,designte,designten,designtet,designten,designt,,,
168,reg,designieren,to designate,Er wurde zum Präsidenten designiert.,He was designated as president.,,,designiere,designierst,designiert,designieren,designiert,designieren,designierte,designiertest,designierte,designierten,designiertet,designierten,designiert,,,
169,reg,dienen,to serve,Er dient dem König.,He serves the king.,,,diene,dienst,dient,dienen,dient,dienen,diente,dientest,diente,dienten,dientet,dienten,gedient,,,
170,reg,diskutieren ,to discuss,Wir diskutieren über das Thema.,We are discussing the topic.,,mit (D) über (A),diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren,diskutierte,diskutiertest,diskutierte,diskutierten,diskutiertet,diskutierten,diskutiert,,,
171,reg,drehen,to turn/to spin,Er dreht den Schlüssel im Schloss.,He is turning the key in the lock.,sich,,drehe,drehst,dreht,drehen,dreht,drehen,drehte,drehtest,drehte,drehten,drehtet,drehten,gedreht,,,
172,reg,drohen,to threaten,Er droht ihm mit dem Finger.,He is threatening him with his finger.,,,drohe,drohst,droht,drohen,droht,drohen,drohte,drohtest,drohte,drohten,drohtet,drohten,gedroht,,,
173,reg,drucken,to print,Die Zeitung wird täglich gedruckt.,The newspaper is printed daily.,,,drucke,druckst,druckt,drucken,druckt,drucken,druckte,drucktest,druckte,druckten,drucktet,druckten,gedruckt,,,
174,reg,drücken,to press/to push,Drück auf den Knopf.,Press the button.,sich,,drücke,drückst,drückt,drücken,drückt,drücken,drückte,drücktest,drückte,drückten,drücktet,drückten,gedrückt,,,
175,reg,duften,to smell good,Die Blumen duften.,The flowers smell good.,,,dufte,duftest,duftet,duften,duftet,duften,duftete,duftest,duftete,dufteten,duftetet,dufteten,geduftet,,,
176,reg,dulden,to tolerate/to endure,Ich dulde kein unhöfliches Benehmen.,I don't tolerate impolite behavior.,,,dulde,duldest,duldet,dulden,duldet,dulden,duldete,duldetest,duldete,duldeten,duldetet,duldeten,geduldet,,,
177,reg,durch.  führen,to carry out/to implement,Wir führen das Experiment durch.,We are carrying out the experiment.,,,führe. durch,führst. durch,führt. durch,führen. durch,führt. durch,führen. durch,führte. durch,führtest. durch,führte. durch,führten. durch,führtet. durch,führten. durch,durchgeführt,x,,
178,reg,durch.  sagen,to announce (over speaker),Der Flug wurde im Radio durchgesagt.,The flight was announced on the radio.,,,sage. durch,sagst. durch,sagt. durch,sagen. durch,sagt. durch,sagen. durch,sagte. durch,sagtest. durch,sagte. durch,sagten. durch,sagtet. durch,sagten. durch,durchgesagt,,,
179,reg,durcheilen ,to rush through,Er durcheilt den Bahnhof.,He rushes through the station.,,,eile durch,eilst durch,eilt durch,eilen durch,eilt durch,eilen durch,eilte durch,eiltest durch,eilte durch,eilten durch,eiltet durch,eilten durch,durchgeeilt,,,
180,unr,dürfen,"may, to be allowed to",Du darfst hier nicht rauchen.,You are not allowed to smoke here.,,,darf,darfst,darf,dürfen ,dürft,dürfen ,durfte,durftest,durfte,durften,durftet,durften,gedurft,,,
181,reg,duschen,to shower,Ich dusche jeden Morgen.,I shower every morning.,sich,,dusche,duschst,duscht,duschen,duscht,duschen,duschte,duschtest,duschte,duschten,duschtet,duschten,geduscht,,,
182,reg,ehren,to honor,Man ehrte den Wissenschaftler mit einer Medaille.,The scientist was honored with a medal.,,,ehre,ehrst,ehrt,ehren,ehrt,ehren,ehrte,ehrtest,ehrte,ehrten,ehrtet,ehrten,geehrt,,,
183,reg,eigenen,to own (archaic),Er eignet das Haus.,He owns the house.,sich,für,eigne,eignest,eignet,eignen,eignet,eignen,eignete,eignetest,eignete,eigneten,eignetet,eigneten,geeignet,x,,
184,reg,eilen,to hurry,Ich eile zur Arbeit.,I hurry to work.,,,eile,eilst,eilt,eilen,eilt,eilen,eilte,eiltest,eilte,eilten,eiltet,eilten,geeilt,,,
185,unr,ein.  fallen,to come to mind/to remember,Mir fällt der Name nicht ein.,The name doesn't come to my mind.,,,falle.  ein,fällst.  ein,fällt.  ein,fallen.  ein,fallt.  ein,fallen.  ein,fiel.  ein ,fielst.  ein ,fiel.  ein,fielen.  ein,fielt.  ein,fielen.  ein,eingefallen,x,,
186,reg,ein.  führen,to introduce/to implement,Wir führen eine neue Regel ein.,We are introducing a new rule.,,,führe. ein,führst. ein,führt. ein,führen. ein,führt. ein,führen. ein,führte. ein,führtest. ein,führte. ein,führten. ein,führtet. ein,führten. ein,eingeführt,x,,
187,reg,ein.  füllen ,"to fill in, pour in",Bitte füllen Sie die Flüssigkeit in die Flasche ein.,Please pour the liquid into the bottle.,,,fülle. ein,füllst. ein,füllt. ein,füllen. ein,füllt. ein,füllen. ein,füllte. ein,fülltest. ein,füllte. ein,füllten. ein,fülltet. ein,füllten. ein,eingefüllt,,,
188,unr,ein.  gehen,to enter/to agree to,Er geht auf den Vorschlag ein.,He is agreeing to the proposal.,,auf,gehe. ein,gehst. ein,geht. ein,gehen. ein,geht. ein,gehen. ein,ging. ein,gingst. ein,ging. ein,gingen. ein,gingt. ein,gingen. ein,eingegangen,x,,
189,unr,ein.  halten,to adhere to/to comply with,Wir müssen die Regeln einhalten.,We have to comply with the rules.,,,halte. ein,hältst. ein,hält. ein,halten. ein,haltet. ein,halten. ein,hielt. ein,hieltst. ein,hielt. ein,hielten. ein,hieltet. ein,hielten. ein,eingehalten,x,,
190,unr,ein.  laden,to invite,Wir laden unsere Freunde zur Party ein.,We invite our friends to the party.,,,lade.  ein,lädst.  ein,lädt.  ein,laden.  ein,ladet.  ein,laden.  ein,lud.  ein,ludest.  ein,lud.  ein,luden.  ein,ludet.  ein,luden.  ein,eingeladen ,,,
