,,,Präsens,,,,,,Präteritum,,,,,,,,,,,,,,,
101,unr,beitreten,trete. bei,trittst. bei,tritt. bei,treten. bei,trettet. bei,treten. bei,trat. bei,tratst. bei,trat. bei,traten. bei,tratet. bei,traten. bei,beigetreten,,,beitreten,to join/to enter,Er tritt dem Verein bei.,He is joining the club.,,,
102,reg,bekehren ,bekehre,bekehrst,bekehrt,bekehren,bekehrt,bekehren,bekehrte,bekehrtest,bekehrte,bekehren,bekehrtet,bekehren,gekehrt,sich,,"convert, bring over",to convert (religion/belief),Der Missionar bekehrte viele Menschen.,The missionary converted many people.,,,
103,reg,belasten,belaste,belastest,belastet,belasten,belastet,belasten,belastete,belastetest,belastete,belasteten,belastetet,belasteten,belastet,,,"burden, charge, debit, tax","to burden, strain",Die Arbeit belastet ihn sehr.,The work burdens him a lot.,,,
104,reg,belegen,belege,belegst,belegt,belegen,belegt,belegen,belegte,belegtest,belegte,belegten,belegtet,belegten,belegt,,,belegen,to prove/to occupy,Er belegt einen Platz.,He is occupying a seat.,,,
105,reg,beleidigen,beleidige,beleidigst,beleidigt,beleidigen,beleidigt,beleidigen,beleidigte,beleidigtest,beleidigte,beleidigten,beleidigtet,beleidigten,beleidigt,,,beleidigen,to insult/to offend,Er hat mich beleidigt.,He insulted me.,,,
106,reg,belieben ,beliebe,beliebst,beliebt,belieben,beliebt,belieben,beliebte,beliebtest,beliebte,beliebten,beliebtet,beliebten,beliebt,,,"appeal, please, choose ","to please, fancy","Sie können kommen, wann es Ihnen beliebt.",You may come whenever you please.,,,
107,reg,bellen,belle,bellst,bellt,bellen,bellt,bellen,bellte,belltest,bellte,bellten,belltet,bellten,gebellt,,,"bark, bowwow, snap",to bark,Der Hund bellt laut.,The dog barks loudly.,,,
108,reg,bemühen ,bemühe,bemühst,bemüht,bemühen,bemüht,bemühen,bemühte,bemühtest,bemühte,bemühten,bemühtet,bemühten,bemüht,sich,um,bemühen,to strive/to make an effort,"Ich bemühe mich, pünktlich zu sein.",I am making an effort to be on time.,x,,
109,unr,benehmen,benehme mich,benimmst dich,benimmt,benehmen,benehmt,benehmen,benahm,benahmst,benahm,benahmen,benahmt,benahmen,benommen,sich,,benehmen,to behave,Das Kind benimmt sich gut.,The child is behaving well.,,sich verhalten,
110,reg,benötigen,benötige,benötigst,benötigt,benötigen,benötigt,benötigen,benötigte,benötigtest,benötigte,benötigten,benötigtet,benötigten,benötigt,,,benötigen,to need/to require,Ich benötige deine Hilfe.,I need your help.,,,
111,reg,benutzen,benutze,benutzt,benutzt,benutzen,benutzt,benutzen,benutzte,benutztest,benutzte,benutzten,benutztet,benutzten,benutzt,,,benutzen,to use,Ich benutze meinen Computer.,I am using my computer.,,,
112,reg,benutzen ,benutze,benutzt,benutzt,benutzen,benutzt,benutzen,benutzte,benutztest,benutzte,benutzten,benutztet,benutzten,benutzt,,,"use, utilize, employ",to use,Er benutzt sein Handy als Wecker.,He uses his phone as an alarm clock.,,,
113,reg,beobachten,beobachte,beobachtest,beobachtet,beobachten,beobachtet,beobachten,beobachtete,beobachtetest,beobachtete,beobachteten,beobachtetet,beobachteten,beobachtet,,,beobachten,to observe,Er beobachtet die Vögel.,He is observing the birds.,,,
114,reg,beraten,berate,berätst,berät,beraten,beratet,beraten,beriet,berietst,beriet,berieten,berietet,berieten,beraten,sich,,beraten,to advise,Sie berät ihre Kunden.,She advises her clients.,,,
115,reg,bereiten ,bereite,bereitest,bereitet,bereiten,bereitet,bereiten,bereitete,bereitetest,bereitete,bereiteten,bereitetet,bereiteten,bereitet,sich,,prepare,"to prepare, cause",Das bereitet mir Freude.,That gives me joy.,,,
116,reg,berichten ,berichte,berichtest,berichtet,berichten,berichtet,berichten,berichtete,berichtetest,berichtete,berichteten,berichtetet,berichteten,berichtet,,,berichten,to report,Er berichtet über die Neuigkeiten.,He is reporting on the news.,,,
117,reg,beruhigen,beruhige,beruhigst,beruhigt,beruhigen,beruhigt,beruhigen,beruhigte,beruhigtest,beruhigte,beruhigten,beruhigtet,beruhigten,beruhigt,sich,,beruhigen,to calm down/to soothe,Er beruhigt das weinende Kind.,He is calming down the crying child.,x,,
118,reg,bescheinigen,bescheinige,bescheinigst,bescheinigt,bescheinigen,bescheinigt,bescheinigen,bescheinigte,bescheinigtest,bescheinigte,bescheinigten,bescheinigtet,bescheinigten,bescheinigt,,,"attest, certify, confirm","to certify, attest",Der Arzt bescheinigt seine Arbeitsunfähigkeit.,The doctor certifies his incapacity to work.,,,
119,reg,beschlagnahmen,beschlagnahme,beschlagnahmst,beschlagnahmt,beschlagnahmen,beschlagnahmt,beschlagnahmen,beschlagnahmte,beschlagnahmtest,beschlagnahmte,beschlagnahmten,beschlagnahmtet,beschlagnahmten,beschlagnahmt,,,beschlagnahmen,to confiscate,Die Polizei beschlagnahmt die Ware.,The police are confiscating the goods.,,,
120,reg,beschließen,beschließe,beschließt,beschließt,beschließen,beschließt,beschließen,beschloss,beschlosst,beschloss,beschlossen,beschlosst,beschlossen,beschlossen,,,beschließen,to decide,"Wir beschließen, zu gehen.",We decide to go.,,,
121,reg,beschränken,beschränke,beschränkst,beschränkt,beschränken,beschränkt,beschränken,beschränkte,beschränktest,beschränkte,beschränkten,beschränktet,beschränkten,beschränkt,sich,,beschränken,to limit/to restrict,Er beschränkt seine Ausgaben.,He is restricting his expenses.,,,
122,reg,beschweren ,beschwere,beschwerst,beschwert,beschweren,beschwert,beschweren,beschwerte,beschwertest,beschwerte,beschwerten,beschwertet,beschwerten,beschwert,sich,bei (D) über (A),beschweren,to complain,Sie beschwert sich über das Essen.,She is complaining about the food.,,,
123,reg,besichtigen,besichtige,besichtigst,besichtigt,besichtigen,besichtigt,besichtigen,besichtigte,besichtigtest,besichtigte,besichtigten,besichtigtet,besichtigten,besichtigt,,,besichtigen,to visit (a sight),Wir besichtigen die Burg.,We are visiting the castle.,x,,
124,reg,besitzen,besitze,besitzt,besitzt,besitzen,besitzt,besitzen,besetzte,besetztest,besetzte,besetzten,besetztet,besetzten,besessen,,,besitzen,to own/to possess,Er besitzt ein großes Haus.,He owns a large house.,,,
125,unr,bestehen,bestehe,bestehst,besteht,bestehen,besteht,bestehen,bestand,bestandest,bestand,bestanden,bestandet,bestanden,bestanden,,auf + DAT,bestehen,to pass (an exam),Sie hat die Prüfung bestanden.,She passed the exam.,,,
126,unr,bestehen,,,,,,,,,,,,,,,aus (D),bestehen,to consist of,Das Gericht besteht aus drei Teilen.,The dish consists of three parts.,,,
127,unr,besteigen,besteige,besteigst,besteigt,besteigen,besteigt,besteigen,bestieg,bestiegst,bestieg,bestiegen,bestiegt,bestiegen,bestiegen,,,besteigen,to climb/to board (a vehicle),Wir besteigen den Berg.,We are climbing the mountain.,x,,
128,reg,bestellen ,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen,bestellte,bestelltest,bestellte,bestellten,bestelltet,bestellten,bestellt,,,bestellen,to order,Ich bestelle eine Pizza.,I am ordering a pizza.,,,
129,reg,bestrafen,bestrafe,bestrafst,bestraft,bestrafen,bestraft,bestrafen,bestrafte,bestraftest,bestrafte,bestraften,bestraftet,bestraften,bestraft,,,bestrafen,to punish,Der Lehrer bestraft den Schüler.,The teacher is punishing the student.,,,
130,reg,besuchen,besuche,besuchst,besucht,besuchen,besucht,besuchen,besuchte,besuchtest,besuchte,besuchten,besuchtet,besuchten,besucht,,,besuchen,to visit (a person/place),Ich besuche meine Oma.,I am visiting my grandma.,,,
131,reg,beten,bete,betest,betet,beten,betet,beten,betete,betetest,betete,beteten,betetet,beteten,gebetet,,,beten,to pray,Sie betet jeden Abend.,She prays every evening.,,,
132,reg,betonen,betone,betonst,betont,betonen,betont,betonen,betonte,betontest,betonte,betonten,betontet,betonten,betont,,,betonen,to emphasize/to stress,Er betont die Wichtigkeit.,He is emphasizing the importance.,x,,
133,reg,betragen,betreffe,betriffst,betrifft,betreffen,betrifft,betreffen,betrug,betrugst,betrug,betrugen,betrugt,betrugen,betrogen,sich,,betragen,to amount to,Der Preis beträgt 50 Euro.,The price amounts to 50 Euros.,,,
134,reg,beunruhigen,beunruhige,beunruhigst,beunruhigt,beunruhigen,beunruhigt,beunruhigen,beunruhigte,beunruhigtest,beunruhigte,beunruhigten,beunruhigtet,beunruhigten,beunruhigt,sich,,beunruhigen,to worry/to unsettle,Die Nachrichten beunruhigen mich.,The news is worrying me.,,,
135,reg,beurteilen,beurteile,beurteilst,beurteilt,beurteilen,beurteilt,beurteilen,beurteilte,beurteilstest,beurteilte,beurteilten,beurteiltet,beurteilten,beurteilt,sich,,beurteilen,to judge/to assess,Man sollte nicht vorschnell beurteilen.,You shouldn't judge prematurely.,x,,
136,reg,bewachen,bewache,bewachst,bewacht,bewachen,bewacht,bewachen,bewachte,bewachtest,bewachte,bewachten,bewachtet,bewachten,bewacht,,,bewachen,to guard/to watch over,Ein Hund bewacht das Haus.,A dog is guarding the house.,,,
137,reg,bewegen,bewege,bewegst,bewegt,bewegen,bewegt,bewegen,bewog,bewogst,bewog,bewogen,bewogt,bewogen,bewogen,sich,,"move, agitate, actuate",to move,Er bewegt den Stuhl.,He moves the chair.,,,
138,unr,beweisen,beweise,beweist,beweist,beweisen,beweist,beweisen,bewies,bewiesest,bewies,bewiesen,bewieset,bewiesen,bewiesen,,,beweisen,to prove,Er muss seine Unschuld beweisen.,He has to prove his innocence.,x,,
139,unr,bewerben,bewerbe,bewirbst,bewirbt,bewerben,bewerbt,bewerben,bewarb,bewarbst,bewarb,bewarben,bewarbt,bewarben,beworben,sich,"um, als, für (A)",bewerben,to apply for,Ich bewerbe mich um die Stelle.,I am applying for the job.,x,,
140,unr,bewundern,bewundere,bewunderst,bewundert,bewundern,bewundert,bewundern,bewunderte,bewundertest,bewunderte,bewunderten,bewundertet,bewunderten,bewundert,sich,,bewundern,to admire,Ich bewundere deine Geduld.,I admire your patience.,,,
141,reg,bezahlen ,bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen,bezahlte,bezahltest,bezahlte,bezahlten,bezahltet,bezahlten,bezahlt,,,bezahlen,to pay,Ich bezahle die Rechnung.,I am paying the bill.,,,
142,unr,beziehen,beziehe,beziehst,bezieht,beziehen,bezieht,beziehen,bezog,bezogst,bezog,bezogen,bezogt,bezogen,bezogen,sich,auf,beziehen,to refer to/to get from,Ich beziehe mich auf dein Schreiben.,I am referring to your letter.,x,,
143,reg,bezweifeln,bezwiefle,bezwiefelst,bezwiefelt,bezwiefeln,bezwiefelt,bezwiefeln,bezwiefelte,bezwiefeltest,bezwiefelte,bezwiefelten,bezwiefeltet,bezwiefelten,bezwiefelt,,,bezweifeln,to doubt,Ich bezweifle seine Geschichte.,I doubt his story.,,,
144,unr,bieten,biete,bietest,bietet,bieten ,bietet,bieten ,bot,botest,bot,boten ,botet,boten ,geboten ,,,"offer (job, help - anbieten), provide",to offer,Die Firma bietet gute Arbeitsbedingungen.,The company offers good working conditions.,,,
145,reg,bilden,bilde,bildest,bildet,bilden,bildet,bilden,bildete,bildetest,bildete,bildeten,bildetet,bildeten,gebildet,,,bilden,to form/to educate,Sie bildet sich weiter.,She is educating herself further.,x,,
146,unr,bitten,bitte,bittest,bittet,bitten,bittet,bitten,bat,batest,bat,baten,batet,baten,gebeten ,sich,um (A),"ask, request, beg","to ask, request",Ich bitte dich um Hilfe.,I ask you for help.,,,
147,reg,blasen,blase,bläst,bläst,blasen,blast,blasen,blies,bliest,blies,bliesen,bliest,bliesen,geblasen,,,blasen,to blow,Er bläst die Kerzen aus.,He is blowing out the candles.,,,
148,unr,bleiben,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,blieb,bliebst,blieb,blieben,bliebt,blieben,geblieben ,,,"stay, remain","to stay, remain",Wir bleiben zu Hause.,We are staying at home.,,,
149,unr,blicken ,blicke,blickst,blickt,blicken,blickt,blicken,blickte,blicktest,blickte,blickten,blicktet,blickten,geblickt,,,"look, look at","to glance, look",Sie blickte aus dem Fenster.,She glanced out of the window.,,,
150,reg,brauchen ,brauche,brauchst,braucht,brauchen,braucht,brauchen,brauchte,brauchtest,brauchte,brauchten,brauchtet,brauchten,gebraucht,,,brauchen,to need,Ich brauche deine Hilfe.,I need your help.,,,
151,reg,brechen,breche,brichst,bricht,brechen,brecht,brechen,brach,brachst,brach,brachen,bracht,brachen,gebrochen,,,brechen,to break,Er bricht das Brot.,He is breaking the bread.,,,
152,unr,bremsen,bremse,bremst,bremst,bremsen,bremst,bremsen,bremste,bremstest,bremste,bremsten,bremstet,bremsten,gebremst,,,bremsen,to brake,Er muss plötzlich bremsen.,He has to brake suddenly.,,,
153,unr,bringen ,bringe,bringst,bringt,bringen ,bringt,bringen ,brachte,brachtest,brachte,brachten,brachtet,brachten,gebracht,,,bring,to bring,Kannst du mir ein Glas Wasser bringen?,Can you bring me a glass of water?,,,
154,unr,bringen zu,bringe,bringst,bringt,bringen ,bringt,bringen ,brachte,brachtest,brachte,brachten,brachtet,brachten,gebracht,,zu,"lead to, cause","to bring to, lead to",Sein Mut brachte ihn zum Erfolg.,His courage led him to success.,,,
155,reg,brüllen,brülle,brüllst,brüllt,brüllen,brüllt,brüllen,brüllte,brülltest,brüllte,brüllten,brülltet,brüllten,gebrüllt,,,brüllen,to roar/to yell,Der Löwe brüllt.,The lion is roaring.,,,
156,unr,buchstabieren,buchstabiere,buchstabierst,buchstabiert,buchstabieren,buchstabiert,buchstabieren,buchstabierte,buchstabiertest,buchstabierte,buchstabierten,buchstabiertet,buchstabierten,buchstabiert,,,buchstabieren,to spell,Kannst du das bitte buchstabieren?,Can you please spell that?,,,
157,reg,bummeln,bummele,bummelst,bummelt,bummeln,bummelt,bummeln,bummelte,bummeltest,bummelte,bummelten,bummeltet,bummelten,gebummelt,,,"loiter, ramble, hang behind","to stroll, wander",Wir bummeln durch die Stadt.,We are strolling through the city.,,,
158,reg,bürsten,bürste,bürstest,bürstet,bürsten,bürstet,bürsten,bürstete,bürstetest,bürstete,bürsteten,bürstetet,bürsteten,gebürstet,,,bürsten,to brush,Sie bürstet ihre Haare.,She is brushing her hair.,,,
159,reg,chatten,chatte,chattest,chattet,chatten,chattet,chatten,chattete,chattetest,chattete,chatteten,chattetet,chatteten,gechattet,,,"chat, message",to chat (online),Sie chatten jeden Abend im Internet.,They chat online every evening.,,,
160,reg,danken,danke,dankst,dankt,danken,dankt,danken,dankte,danktest,dankte,dankten,danktet,dankten,gedankt,sich,für (A),danken,to thank,Ich danke Ihnen für die Hilfe.,I thank you for the help.,,,
161,reg,darstellen,stelle dar,stellst dar,stellt dar,stellen dar,stellt dar,stellen dar,stellte dar,stelltest dar,stellte dar,stellten dar,stelltet dar,stellten dar,dargestellt,sich,,darstellen,to represent/to portray,Der Film stellt eine wahre Geschichte dar.,The film portrays a true story.,,,
162,reg,dauern,daure,daurst,daurt,dauern,dauert,dauern,dauerte,daurtest,dauerte,dauerten,daurtet,dauerten,gedauert,,,"last, endure, take time",to last,Der Film dauert zwei Stunden.,The movie lasts two hours.,,,
163,reg,dazu.  gehören,gehöre. dazu,gehörst. dazu,gehört. dazu,gehören. dazu,gehört. dazu,gehören. dazu,gehörte. dazu,gehörtest. dazu,gehörte. dazu,gehörten. dazu,gehörtest. dazu,gehörten. dazu,dazugehört,,,dazu. gehören,to belong to/to be a part of,Das gehört dazu.,That is part of it.,x,,
164,reg,dehnen,dehne,dehnst,denht,dehnen,denht,dehnen,dehnte,denhtest,dehnte,dehnten,denhtet,dehnten,gedehnt,sich,,dehnen,to stretch,Er dehnt seine Muskeln.,He is stretching his muscles.,,,
165,reg,dementieren,dementiere,dementierst,dementiert,dementieren,dementiert,dementieren,dementierte,dementiertest,dementierte,dementierten,dementiertet,dementierten,dementiert,,,dementieren,to deny,Er dementiert die Gerüchte.,He is denying the rumors.,,,
166,unr,denken,denke,denkst,denkt,denken,denkt,denken,dachte,dachtest,dachte,dachten,dachtet,dachten,gedacht,,an,denken,to think,Ich denke an dich.,I am thinking of you.,,,
167,reg,designen,designe,designst,designt,designen,designt,designen,designte,designtest,designte,designten,designtet,designten,designt,,,design ,to design,Er designt moderne Möbel.,He designs modern furniture.,,,
168,reg,designieren,designiere,designierst,designiert,designieren,designiert,designieren,designierte,designiertest,designierte,designierten,designiertet,designierten,designiert,,,designate,to designate,Er wurde zum Präsidenten designiert.,He was designated as president.,,,
169,reg,dienen,diene,dienst,dient,dienen,dient,dienen,diente,dientest,diente,dienten,dientet,dienten,gedient,,,dienen,to serve,Er dient dem König.,He serves the king.,,,
170,reg,diskutieren ,diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren,diskutierte,diskutiertest,diskutierte,diskutierten,diskutiertet,diskutierten,diskutiert,,mit (D) über (A),diskutieren,to discuss,Wir diskutieren über das Thema.,We are discussing the topic.,,,
171,reg,drehen,drehe,drehst,dreht,drehen,dreht,drehen,drehte,drehtest,drehte,drehten,drehtet,drehten,gedreht,sich,,drehen,to turn/to spin,Er dreht den Schlüssel im Schloss.,He is turning the key in the lock.,,,
172,reg,drohen,drohe,drohst,droht,drohen,droht,drohen,drohte,drohtest,drohte,drohten,drohtet,drohten,gedroht,,,drohen,to threaten,Er droht ihm mit dem Finger.,He is threatening him with his finger.,,,
173,reg,drucken,drucke,druckst,druckt,drucken,druckt,drucken,druckte,drucktest,druckte,druckten,drucktet,druckten,gedruckt,,,"print, publish",to print,Die Zeitung wird täglich gedruckt.,The newspaper is printed daily.,,,
174,reg,drücken,drücke,drückst,drückt,drücken,drückt,drücken,drückte,drücktest,drückte,drückten,drücktet,drückten,gedrückt,sich,,drücken,to press/to push,Drück auf den Knopf.,Press the button.,,,
175,reg,duften,dufte,duftest,duftet,duften,duftet,duften,duftete,duftest,duftete,dufteten,duftetet,dufteten,geduftet,,,duften,to smell good,Die Blumen duften.,The flowers smell good.,,,
176,reg,dulden,dulde,duldest,duldet,dulden,duldet,dulden,duldete,duldetest,duldete,duldeten,duldetet,duldeten,geduldet,,,dulden,to tolerate/to endure,Ich dulde kein unhöfliches Benehmen.,I don't tolerate impolite behavior.,,,
177,reg,durch.  führen,führe. durch,führst. durch,führt. durch,führen. durch,führt. durch,führen. durch,führte. durch,führtest. durch,führte. durch,führten. durch,führtet. durch,führten. durch,durchgeführt,,,durch. führen,to carry out/to implement,Wir führen das Experiment durch.,We are carrying out the experiment.,x,,
178,reg,durch.  sagen,sage. durch,sagst. durch,sagt. durch,sagen. durch,sagt. durch,sagen. durch,sagte. durch,sagtest. durch,sagte. durch,sagten. durch,sagtet. durch,sagten. durch,durchgesagt,,,announce,to announce (over speaker),Der Flug wurde im Radio durchgesagt.,The flight was announced on the radio.,,,
179,reg,durcheilen ,eile durch,eilst durch,eilt durch,eilen durch,eilt durch,eilen durch,eilte durch,eiltest durch,eilte durch,eilten durch,eiltet durch,eilten durch,durchgeeilt,,,rush through ,to rush through,Er durcheilt den Bahnhof.,He rushes through the station.,,,
